ID plataforma anuncio mercado investimento cliques conversoes
61 Google Banner Tecnologia 9.55098082626249 484.309095109963 64.4983683985831
62 Google Banner Moda 5.89902927071251 915.447977203085 15.7817364800921
63 Facebook Banner Moda 11.87527943667 355.866724015765 27.6468990847118
64 Google Banner Alimentação 7.68545066431436 678.294417169025 29.0745702840695
65 Instagram Vídeo Alimentação 13.5345768148792 293.158807911706 69.731247634212
66 Google Banner Tecnologia 9.37837570363367 651.16604978187 21.6680156212561
67 Instagram Banner Tecnologia 9.29400599887748 605.485942221165 41.2997889394902
68 Facebook Banner Alimentação 8.42174079578412 688.729202725542 12.6108253521472
69 Google Banner Moda 10.1217801335724 471.871100851769 35.35450905211
70 Instagram Texto Tecnologia 8.08902188263039 548.182400161079 33.1281590447406
71 Facebook Banner Tecnologia 9.9614915433632 402.694674933557 24.2473803866644
72 Google Vídeo Tecnologia 12.3356361648771 306.119745696485 70.8266704381844
73 Google Banner Alimentação 9.65977839451058 599.497508075569 30.0797006578515
74 Instagram Vídeo Tecnologia 9.58314536507683 576.332919083536 25.1833926962737
75 Facebook Vídeo Tecnologia 8.23563406358406 604.848625791266 36.4459601676325
76 Google Banner Tecnologia 9.60960588232156 587.670710771684 35.3231638200772
77 Instagram Vídeo Tecnologia 8.59353810311167 652.18448823713 38.7297983371191
78 Instagram Texto Moda 13.9419808362984 227.400106055224 74.6667796259761
79 Instagram Texto Tecnologia 10.1797294941938 493.334361577764 66.2004952136324
80 Google Banner Alimentação 13.6560856175163 242.973276173189 56.9342629929128
81 Facebook Banner Alimentação 11.4961736399508 377.395260383547 53.6483166865906
82 Instagram Texto Moda 7.00055541464189 728.686051700418 21.3673042550299
83 Instagram Banner Tecnologia 12.3319469683077 359.594499713621 69.1329509152693
84 Facebook Banner Alimentação 10.7231821944762 444.047041678633 36.7933262248013
85 Instagram Vídeo Alimentação 8.99316795312288 526.756041520131 30.8445131474639
86 Facebook Texto Moda 9.12283391009741 519.893162229881 38.4138949523116
87 Facebook Vídeo Alimentação 13.9638626584383 176.263927661222 84.7725553071255
88 Facebook Vídeo Moda 11.1163277580259 461.659265431678 74.3679844982664
89 Instagram Texto Tecnologia 8.4986982292874 509.772879861521 54.7698075378702
90 Google Texto Tecnologia 10.5692484764645 412.377171863615 68.0210219120195
91 Instagram Vídeo Moda 11.7954375405097 341.904194972084 56.7662355403596
92 Instagram Texto Tecnologia 9.97188312896961 469.626996201904 49.7052856636636
93 Google Banner Moda 10.9163722516304 528.131287633459 25.6351648461624
94 Google Banner Alimentação 13.019567630286 218.097733870433 64.0573444539244
95 Instagram Vídeo Moda 10.7363326559502 513.501929803423 57.2951504370276
96 Facebook Banner Moda 9.47807575509736 660.397524510892 42.5067081852367
97 Google Banner Alimentação 9.69537802842713 474.354271809145 29.8912846352067
98 Google Banner Moda 10.384303460825 489.141072745279 62.7821800049005
99 Facebook Texto Alimentação 12.1909482452341 259.550133299006 76.0137491770659
100 Instagram Banner Alimentação 10.005119887116 417.820351843881 34.8360747886502
101 Instagram Texto Tecnologia 10.8494038957936 446.34621381812 53.7171168863145
102 Google Texto Moda 12.9533690871145 359.617218160863 68.0363873984674
103 Instagram Banner Moda 10.8129794655829 420.510804830445 72.9541275887302
104 Google Texto Moda 8.49870015709919 553.561420124533 51.3587389322217
105 Facebook Banner Alimentação 8.85928033658065 501.563601324675 54.0854038006741
106 Facebook Banner Tecnologia 11.8145111848595 409.687088464991 77.1699417706278
107 Instagram Vídeo Moda 11.6601008725067 450.648490360719 59.5389122693875
108 Facebook Vídeo Tecnologia 11.6886538353331 417.04724799544 49.0358456174576
109 Instagram Vídeo Tecnologia 12.3628044747383 397.216057376416 85.8461167001996
110 Google Texto Tecnologia 10.0055854601657 489.248300781487 22.2694002642899
111 Facebook Banner Alimentação 6.6419729816871 757.771767271161 15.9794251707988
112 Google Banner Tecnologia 13.6023382594321 271.632764146033 77.8056075656659
113 Instagram Vídeo Tecnologia 14.7070541107712 169.802479630443 86.7348199396702
114 Google Vídeo Alimentação 7.47697615938155 778.526304081933 33.6510302935809
115 Instagram Banner Tecnologia 8.85715132944627 599.213920462314 59.7403051882975
116 Google Banner Tecnologia 9.314331932865 520.690226380515 68.6844217116965
117 Instagram Banner Moda 8.26090001991318 588.572351316774 43.6197026025211
118 Facebook Vídeo Moda 7.71881111912526 655.763155533658 36.9273959195094
119 Google Texto Moda 10.0096026495499 518.788347700129 70.0350633666716
120 Facebook Banner Tecnologia 10.5768920431241 406.444050706386 49.0713843941877
121 Facebook Banner Tecnologia 10.946758446717 438.757949325885 70.7921632125942
122 Google Banner Alimentação 11.7353958775574 434.281859284174 83.806623036851
123 Instagram Banner Alimentação 8.177752786208 667.672622322817 37.8845886659598
124 Google Vídeo Tecnologia 9.91964064576755 498.132140282734 78.4732469247655
125 Instagram Banner Moda 7.96886538465126 547.570221989377 56.381066111068
126 Instagram Texto Tecnologia 13.2864446398999 252.736358408475 69.7790694752847
127 Instagram Texto Tecnologia 9.37889834401734 582.931289693452 17.9701985634403
128 Instagram Banner Tecnologia 10.792405839529 450.153703982204 66.6655873159387
129 Facebook Texto Moda 7.48022455026212 618.583502669647 41.928329627568
130 Facebook Vídeo Moda 10.2005017207657 468.107270947319 43.2060795085206
131 Facebook Banner Moda 8.78548510884057 658.981962946133 39.9647682944304
132 Facebook Texto Moda 7.95729060868035 627.430024069691 38.465029533122
133 Google Banner Tecnologia 12.7054789803018 366.513379503556 81.6719759469704
134 Facebook Banner Alimentação 8.90346117395874 598.482107971433 54.4507698261699
135 Google Texto Moda 12.7735244475255 255.644048744248 90.6561002816703
136 Google Vídeo Tecnologia 9.53780987063005 590.644463297404 69.5514372633755
137 Facebook Vídeo Tecnologia 12.2480682749673 234.511566354452 79.4047972315303
138 Instagram Vídeo Alimentação 9.74044490432579 435.066152559831 51.8265473734532
139 Google Banner Moda 11.1186384322263 433.49961783463 62.5004212385358
140 Instagram Vídeo Moda 7.94043460373093 654.890768948541 38.7954259407338
141 Google Vídeo Tecnologia 9.34802116074958 408.947029495542 50.7541251375026
142 Instagram Texto Tecnologia 12.1395508615268 397.264008965895 56.6197543144481
143 Facebook Texto Tecnologia 8.66802425861795 636.037600582897 36.6003231567124
144 Instagram Vídeo Alimentação 9.21040798662638 624.193894569098 32.2485903488261
145 Facebook Vídeo Alimentação 9.63891099538164 442.73087643843 82.7939140519486
146 Facebook Texto Tecnologia 10.6890664146823 542.077176885598 52.6006709897115
147 Instagram Banner Tecnologia 11.5496524260651 369.774250205687 54.8059750156914
148 Google Banner Moda 7.09936435506714 787.198606796058 17.2662335360243
149 Facebook Texto Moda 11.2607377276005 460.626241712708 48.3851079988917
150 Instagram Texto Moda 7.90746837186275 650.172116712233 43.9961816362321
151 Google Texto Alimentação 11.1130497165409 391.408462938293 60.4287870656759
152 Facebook Banner Alimentação 9.67570501825371 552.583007505423 17.5070386294561
153 Instagram Texto Moda 8.36412042380156 776.186237811533 18.167694100941
154 Instagram Texto Moda 10.6360796271453 507.479554618654 65.8153742555271
155 Instagram Texto Tecnologia 10.2175351645169 463.519066211958 45.7948618601886
156 Instagram Banner Alimentação 7.84999699075213 591.750081119469 45.0857004777676
157 Facebook Banner Moda 9.34513075174145 523.773197337487 29.5533041661759
158 Google Texto Alimentação 7.42307200476999 628.752959475111 51.326181973248
159 Google Texto Alimentação 12.6030989568637 281.336804114308 83.4595270923819
160 Facebook Texto Alimentação 10.5563058361207 361.014127422116 54.6132064858262
161 Instagram Vídeo Moda 10.925450826319 376.695903101422 89.8916642130358
162 Instagram Banner Alimentação 8.99872314600908 571.640518650211 36.8577238602124
163 Facebook Banner Alimentação 7.17460685376515 682.151983424511 41.998780774373
164 Google Texto Moda 10.7574763882949 443.216674527873 67.6959937942
165 Facebook Vídeo Alimentação 13.2158112873201 149.858571676095 64.7980311585586
166 Google Banner Alimentação 11.5327746251576 357.873580750167 33.2394426935466
167 Google Banner Moda 11.0423950861108 454.065636126402 50.885613213016
168 Google Banner Moda 14.7697345011257 122.970446631224 71.2991860251822
169 Google Texto Alimentação 5.03407206394788 869.817888097834 13.7881090262243
170 Facebook Vídeo Alimentação 9.15906930010494 428.059453565934 46.4750330506562
171 Google Texto Moda 8.85856990485311 596.954567214645 42.6895534950005
172 Google Banner Tecnologia 7.39068952391305 660.895495480045 30.8873397817352
173 Instagram Texto Tecnologia 12.2299997113167 335.283497929015 59.9771791119892
174 Google Banner Alimentação 9.74716182090575 531.577787067567 33.838157246402
175 Instagram Banner Tecnologia 5.41478445479382 755.774077677115 29.70331179987
176 Instagram Banner Alimentação 11.5169531422029 300.884954003444 73.81278639027
177 Facebook Vídeo Tecnologia 12.6997156568493 208.859907045029 73.2877519038519
178 Google Texto Tecnologia 7.18063644912253 612.133060330795 24.2128842041214
179 Instagram Texto Tecnologia 9.60046128867094 503.693173962981 51.0246328840838
180 Facebook Texto Moda 10.8788891257057 412.107014260705 45.4514645937795
181 Facebook Banner Alimentação 9.49410545809276 557.929057458337 54.2162645441348
182 Google Vídeo Moda 11.2288173010382 421.552417641031 49.7486774346767
183 Google Texto Alimentação 9.27635198004875 595.968729528643 40.5904403596436
184 Google Texto Moda 12.5316821516818 332.259015306429 71.191260918566
185 Facebook Vídeo Alimentação 8.71488140037489 583.365957066891 22.0785218820419
186 Google Banner Tecnologia 8.67367646827891 645.049322571065 56.078368638361
187 Facebook Texto Alimentação 12.4000925745272 309.307454279971 41.155444331079
188 Facebook Banner Moda 8.959056011933 554.843801254329 41.8710266814729
189 Google Vídeo Tecnologia 7.42902355179226 692.531484707611 51.523743084856
190 Facebook Vídeo Moda 8.89601143730972 551.722544901731 29.9161594076074
191 Instagram Texto Moda 7.17244973332669 819.579168774549 23.8435089063957
192 Instagram Banner Alimentação 5.80758905752189 814.445808605662 6.88616494982827
193 Facebook Vídeo Tecnologia 10.4222179332105 390.303503330046 46.9819092351797
194 Facebook Vídeo Tecnologia 8.09137716751395 621.649880559202 34.8863611400345
195 Facebook Banner Alimentação 8.42773397860962 650.430254316157 45.8479081887728
196 Facebook Banner Moda 8.17244589854349 612.904720166292 53.3103842742304
197 Google Texto Moda 9.21358841478959 544.897821296323 52.6333694153475
198 Google Banner Tecnologia 10.1817613125233 473.692636955818 40.5661240639943
199 Google Banner Alimentação 11.3020581084836 429.203683582634 51.0260090941932
200 Google Texto Tecnologia 8.66919358301765 611.243364491047 23.9565417607435
201 Instagram Vídeo Alimentação 9.86120701251864 546.766437380091 60.4353098289432
202 Facebook Banner Tecnologia 7.89123658632953 469.331865227475 45.0866664824154
203 Facebook Banner Alimentação 7.94949235348961 590.528442937627 26.9541556984088
204 Facebook Banner Tecnologia 11.4800932329812 374.775039193127 42.7541986237701
205 Facebook Texto Moda 10.0219799186504 613.465305061478 66.6335585184259
206 Google Vídeo Alimentação 8.2860689490287 557.770378868438 17.3916356746971
207 Google Vídeo Alimentação 9.40991906871918 492.260813774028 54.6885836592163
208 Google Vídeo Alimentação 9.34948686053928 554.237150409368 35.6095075488834
209 Google Texto Alimentação 10.8470419899118 444.689965595298 64.6689654805476
210 Google Banner Tecnologia 9.49545351554914 573.409233828145 43.0269702125119
211 Google Texto Tecnologia 14.1684642887141 234.358606573021 96.7520042856555
212 Facebook Vídeo Alimentação 9.85898028780012 503.323199888062 46.4992687195925
213 Google Vídeo Alimentação 14.7985093988542 158.403240673962 66.0630830199221
214 Facebook Texto Moda 7.14397761244226 716.892772640241 36.3364301337809
215 Google Banner Alimentação 8.65167737901823 649.309250149025 38.8572999484774
216 Google Banner Moda 9.45744903262927 638.165236724759 41.4230959795792
217 Google Banner Moda 6.68056749513259 761.565010416056 54.7857299447622
218 Facebook Banner Alimentação 8.17408182561828 583.502741723082 32.5301046895062
219 Facebook Banner Alimentação 9.60150356639184 512.615755690494 66.9779753096745
220 Google Banner Alimentação 8.52522132807964 571.357221979612 28.8298378164298
221 Instagram Vídeo Moda 11.2826643784242 421.998804342338 57.2171187442984
222 Instagram Vídeo Alimentação 14.1743555950418 227.490482064795 85.9661180060002
223 Google Vídeo Alimentação 11.4130191779756 300.012348332749 67.6101800102985
224 Facebook Vídeo Alimentação 10.9517618964642 508.51431004693 70.0138934171927
225 Facebook Banner Moda 10.8548740879923 442.393385871388 59.3365687117728
226 Facebook Banner Alimentação 9.05262519618079 507.114202704643 40.0952329028006
227 Instagram Vídeo Alimentação 7.36028036695585 620.267626701466 47.3861566861855
228 Google Vídeo Alimentação 11.0447215803334 366.356480112409 77.1870522297225
229 Instagram Banner Alimentação 9.17177903790617 576.791178663338 49.02482444461
230 Google Banner Alimentação 9.96726853829937 527.956849814675 63.8877352265997
231 Google Vídeo Moda 13.6341476926281 326.857334411717 65.561944737449
232 Google Texto Alimentação 5.16607594787756 786.872591458738 6.92116346988801
233 Instagram Vídeo Alimentação 8.19118233185776 690.878181073786 35.269856898218
234 Facebook Texto Tecnologia 12.1856156773763 385.312473351141 61.1600181024893
